ID,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
3401,Bachelors,2018,Bangalore,3,41,Male,No,4,1
1463,Bachelors,2012,Bangalore,3,27,Male,No,5,0
4644,Bachelors,2013,Bangalore,3,31,Female,No,5,0
3303,Bachelors,2016,Bangalore,1,39,Male,No,2,0
1260,Bachelors,2014,Pune,3,26,Male,No,4,0
333,Bachelors,2015,Bangalore,3,24,Female,No,2,0
2229,Bachelors,2012,Bangalore,3,28,Male,No,1,0
3086,Bachelors,2015,Pune,2,36,Female,Yes,0,1
2544,Bachelors,2015,Pune,2,28,Female,No,0,1
515,Bachelors,2013,Pune,3,27,Male,No,5,0
1556,Bachelors,2014,Bangalore,3,28,Male,No,4,0
1750,Masters,2013,Bangalore,3,25,Male,No,3,1
3963,Bachelors,2016,Pune,3,38,Female,No,7,0
2474,Bachelors,2015,Pune,2,26,Female,No,4,1
1838,Bachelors,2017,New Delhi,3,24,Female,No,2,0
2043,Masters,2017,Bangalore,3,26,Female,No,4,0
461,Bachelors,2013,Pune,3,24,Male,No,2,0
347,Bachelors,2012,Pune,2,27,Female,No,5,1
2139,PHD,2013,New Delhi,3,27,Female,Yes,5,0
1956,Bachelors,2014,Bangalore,3,28,Male,No,2,1
2735,Bachelors,2012,Bangalore,3,26,Female,No,4,0
2765,Bachelors,2016,New Delhi,3,29,Female,Yes,2,0
4010,Bachelors,2012,Bangalore,1,28,Female,Yes,1,0
372,Masters,2015,New Delhi,1,27,Male,No,5,0
902,Bachelors,2017,Pune,3,24,Male,No,2,0
3017,Bachelors,2015,Bangalore,3,36,Male,No,5,0
2726,Bachelors,2012,Pune,2,29,Female,No,2,1
3076,Bachelors,2017,Bangalore,3,40,Female,No,4,0
3743,Masters,2015,Pune,3,39,Male,No,5,0
4205,Bachelors,2017,Pune,2,37,Female,No,4,1
3922,Bachelors,2012,Bangalore,3,33,Male,Yes,0,0
2040,Bachelors,2017,Pune,3,26,Female,No,4,1
3863,Bachelors,2017,Bangalore,3,38,Female,No,3,0
2717,Bachelors,2012,New Delhi,1,27,Female,No,5,1
626,Bachelors,2015,Bangalore,3,25,Male,No,3,0
3088,Bachelors,2017,Bangalore,3,37,Male,No,2,1
3327,Bachelors,2017,Pune,2,33,Female,No,2,1
2132,Bachelors,2013,Bangalore,1,30,Male,No,1,0
4275,Bachelors,2014,Pune,3,28,Male,Yes,4,0
1665,Bachelors,2012,Pune,1,26,Male,No,4,0
3085,Bachelors,2012,Pune,3,31,Male,No,5,0
771,Bachelors,2017,New Delhi,3,28,Male,No,2,0
631,Bachelors,2015,Pune,2,28,Female,No,2,1
570,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1779,Bachelors,2015,Bangalore,3,28,Female,No,5,0
4215,Masters,2017,New Delhi,2,23,Male,No,1,1
523,Masters,2014,Bangalore,3,24,Female,No,2,1
2025,Bachelors,2016,Bangalore,3,29,Male,No,2,0
3967,PHD,2013,New Delhi,3,40,Male,No,5,0
1006,Bachelors,2012,New Delhi,3,24,Female,No,2,1
1124,Bachelors,2014,Pune,3,24,Male,No,2,0
2891,Masters,2017,New Delhi,3,29,Male,No,2,0
4056,Bachelors,2012,Pune,3,24,Male,No,2,0
3400,Bachelors,2016,Bangalore,3,38,Male,No,1,0
2888,Bachelors,2014,Bangalore,3,26,Male,No,4,0
83,Bachelors,2016,Bangalore,3,38,Male,No,5,0
4415,Bachelors,2014,New Delhi,3,26,Female,No,4,0
2730,Bachelors,2018,Bangalore,2,28,Female,No,3,1
2490,PHD,2015,New Delhi,3,28,Male,No,2,0
3376,Bachelors,2015,Pune,2,32,Female,No,3,1
739,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1669,Bachelors,2016,Bangalore,3,28,Male,Yes,0,0
388,Bachelors,2015,Bangalore,3,26,Female,Yes,4,1
4450,Bachelors,2013,Bangalore,3,33,Male,No,3,1
2364,Bachelors,2016,Pune,3,28,Male,No,2,0
2071,PHD,2015,New Delhi,2,29,Female,Yes,1,0
153,Bachelors,2012,Pune,2,24,Female,No,2,1
2290,Masters,2013,New Delhi,3,27,Female,No,5,0
3870,Bachelors,2015,Bangalore,1,32,Male,Yes,0,1
1391,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1542,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1031,Bachelors,2015,Bangalore,3,24,Male,Yes,2,1
1764,Bachelors,2014,Pune,3,24,Male,No,2,0
268,Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
2268,Masters,2012,Pune,3,30,Male,No,1,0
3012,Bachelors,2018,Bangalore,3,32,Female,No,3,1
1739,Bachelors,2017,Bangalore,3,24,Female,No,2,0
802,Bachelors,2014,Bangalore,3,24,Male,No,2,0
3973,Bachelors,2017,New Delhi,2,33,Male,No,6,0
3882,Bachelors,2017,Pune,2,40,Male,No,4,0
918,Bachelors,2017,New Delhi,2,25,Male,No,3,0
1439,Bachelors,2012,Bangalore,3,28,Male,No,2,0
3300,Bachelors,2015,Pune,2,40,Female,No,4,1
3323,Bachelors,2017,Bangalore,3,35,Male,No,5,0
1477,Bachelors,2016,New Delhi,3,26,Male,No,4,0
2123,Bachelors,2012,Bangalore,3,28,Male,No,2,0
2368,Masters,2013,New Delhi,3,26,Male,No,4,1
2357,Masters,2018,New Delhi,3,27,Female,No,5,1
2176,Masters,2012,New Delhi,1,30,Female,No,2,1
2634,Bachelors,2013,Pune,3,30,Male,No,4,1
1711,Bachelors,2014,New Delhi,3,27,Female,No,5,0
710,Masters,2013,Bangalore,3,27,Male,No,5,1
4020,Bachelors,2018,Bangalore,3,37,Male,No,2,1
3253,PHD,2018,Bangalore,3,36,Female,No,3,1
